IPN,Category,MFR Part #,Footprint,Description,JLCPCB Part #,JLCPCB Parts Qty,Global Sourcing Parts Qty,Consigned Parts Qty,Unit Price($),Total Price($)
JLC-C100042,Capacitors,CC0603KRX7R9BB103,0603,10nF 50V X7R ±10% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,C100042,3620,0,0,0.01,4.37
JLC-C13585,Capacitors,CL31A106KBHNNNE,1206,10uF 50V X5R ±10% 1206 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,C13585,1980,0,0,0.02,37.82
JLC-C136294,Capacitors,UCD1V221MNL1GS,"SMD,D8xL10mm","-55℃~+105℃ 10.5mm 2000hrs@105℃ 220uF 300mA@120Hz 35V 8mm ±20% SMD,D8xL10mm Aluminum Electrolytic Capacitors - SMD ROHS",C136294,490,0,0,0.16,76.14
JLC-C14663,Capacitors,CC0603KRX7R9BB104,0603,100nF 50V X7R ±10% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,C14663,3260,0,0,0.01,4.33
JLC-C15458,Resistors,0603WAJ0104T5E,0603,-55℃~+155℃ 100kΩ 100mW 75V Thick Film Resistor ±100ppm/℃ ±5% 0603 Chip Resistor - Surface Mount ROHS,C15458,5000,0,0,0.01,2.52
JLC-C15849,Capacitors,CL10A105KB8NNNC,0603,1uF 50V X5R ±10% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,C15849,3620,0,0,0.01,10.95
JLC-C161618,Optoelectronics,LTST-C194TGKT,0603,-20℃~+80℃ 130° 20mA 260.5mcd 3.2V 525nm 530nm 76mW Emerald Green Water Clear 0603 LED Indication - Discrete ROHS,C161618,0,0,0,0,0
JLC-C1852832,Capacitors,CC0603KPX7R8BB103,0603,10nF 25V X7R ±10% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,C1852832,3394,0,0,0.02,42.34
JLC-C18679,Resistors,0603WAJ0225T5E,0603,-55℃~+155℃ 100mW 2.2MΩ 75V Thick Film Resistor ±100ppm/℃ ±5% 0603 Chip Resistor - Surface Mount ROHS,C18679,4260,0,0,0.01,2.58
JLC-C2169859,Capacitors,GMK107BJ105KAHT,0603,1uF 35V X5R ±10% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,C2169859,3973,0,0,0.04,128.57
